"","f1sim","f2sim","f3sim","f4sim","f5sim","f6sim","f7sim","f8sim","f9sim","cp10sim","f11sim","cp12sim","cp13sim","f14sim","f15sim","ar1sim","ar2sim","ar3sim","ar4sim","ar5sim","ar6sim","ph1sim","ph2sim","ph3sim","ph4sim","ph5sim","ph6sim","ph7sim","ph8sim","cp1sim","cp2sim","cp3sim","f4sim.1","cp5sim","f6sim.1","cp7sim","f8sim.1","f9sim.1","f10sim","cp1sim.1","cp2sim.1","cp3sim.1","cp4sim","cp5sim.1","cp6sim","cp7sim.1","cp8sim","p1sim","p2sim","p3sim","p4sim","p5sim","p6sim","p7sim","p8sim","ind9sim","ind10sim","cut01sim","cut12sim","cut03sim","cut14sim","cut05sim","cut16sim","al1sim","short2sim","f3sim.1","cp4sim.1","ar5sim.1","ter6sim","p7sim.1","f8sim.2","unk9sim","al10sim","al11sim","al12sim","cp13sim.1","cp14sim","al15sim","ar16sim","cp17sim","ar18sim","cp19sim","cp20sim","o21sim","al22sim","unk23sim","unk24sim","unk25sim","al26sim","o27sim","bf28sim","unk29sim","g1sim","g2sim","g3sim","g4sim","g5sim","g6sim","sy7sim","g8sim","sy9sim","sy10sim","ph11sim","sy12sim","sy13sim","g14sim","g15sim","g16sim","sy17sim","g18sim","g19sim","sy20sim","sy21sim","ph22sim","sy23sim","g24sim","sy25sim","sy26sim","g27sim","g28sim","sy29sim","sy30sim","cp1sim.2","short2sim.1","short3sim","short4sim","short5sim","short6sim","short7sim","short8sim","short9sim","short10sim","short11sim","fa1sim","fa2sim","fa3sim"
"AK-3-B","17119377","17204907","2896255","5075538","18235561","2081349","20942785","9481945","133687024","7122423","20733553","1072795","5979560","4524877","23670556","34557313","3438982","2311353","10746051","3450503","2259504","192595085","186270775","8783771","31342847","2205505","91055319","4446233","11386050","1271901","79297012","66527592","99119710","2315082","689667","6592652","8168833","9517530","45251525","21026822","4787240","6939739","4754587","9460389","48496896","1023877","17718021","5338115","7506573","1548676","1104353","12488171","5965411","7943032","16829748","7724698","5259086","1267480","1546022","16849042","7014202","500066","1309675","842419","1404357","1500189","383096","2645841","9608247","1211375","3341328","453467","140972","830818","206960","4806056","1582135","541738","2119399","371524","1517443","7774393","19893698","1388038","4822938","2603810","2411621","6561036","927236","6388902","260125086","1797910","55528530","45495504","15585657","5977508","109604409","4273482","36014209","30518771","27437361","11915367","2875807","6790779","58832270","9531909","7148759","315134","5269606","10805260","12021296","40732588","7617845","14739088","298675","8519180","8834014","19140876","9511167","2941756","1289523","5149439","43166872","32572522","11303609","136958914","12744773","37366186","1571752","17171907","1922253","698001","2193639","258567","2428299","283155"
"AK-3-C","21132377","20651879","3659998","6312760","20563902","2510165","25394094","11462033","167668308","8459532","24721844","1274980","8095435","5290966","31996975","41870169","4231584","2668332","11968849","4163105","2631680","203190102","210900259","10779772","33136786","2521220","102294018","4981721","12419025","1437465","102037068","86783227","133448862","2702770","869308","8871176","10310861","12482882","66463201","25903190","5675356","8412811","5650613","11778804","62158228","1418284","22196089","6969643","9313816","1919897","1349146","15446236","6963073","9160016","22481168","8930104","6385435","1634074","2131956","20462981","8368435","681137","1774229","2524453","2300899","1891380","474950","3301918","11190365","1518768","4222370","551489","1766536","1471362","1962170","5921967","2000002","654899","2718989","442224","1797661","9713336","24736060","1652120","6328229","3475712","3184119","8741672","986547","8495396","267559936","2525113","78148879","69204601","21867694","9161091","159497717","6512369","46581306","46320812","38023807","14455868","3396315","9140298","80753952","14067010","8962291","439027","7018085","15648047","17122512","54015775","10313688","16800783","390959","13192603","12137910","25176353","13711072","3989087","1805466","7064347","49909716","37693827","13925412","164462314","14586566","44317256","1936704","20949251","2216085","719167","3108589","287999","3048460","363120"
"AK-3-D","10354452","10011569","1757875","2823738","11541352","1208192","13246824","5843026","81885017","4176549","12047895","558870","3323422","2565882","13253982","21969297","2226270","1540903","6435321","2115259","1399387","121054936","113151430","5848071","16677826","1176143","54139717","2301674","5894294","716457","46307841","40945950","63455247","1171348","402829","3603541","4605903","5459850","29857369","12524685","2739231","4030833","2613785","5724573","27512761","675222","9406095","2862493","4719437","950794","672452","7035540","3517258","5053899","9362674","4944919","3269959","871487","1045232","11291288","3681588","345538","845336","439902","785157","826137","210095","1694097","5721714","717315","2024898","266795","86140","537362","169077","2522007","974956","309768","1355770","190264","862531","4207146","10724611","769871","2710169","1472405","1363872","3548621","536444","3387675","147022290","1096753","33401743","27176733","8611411","3742981","65947916","2575816","19333498","18318427","14738448","5861731","1685616","3580661","31808190","5742348","5092283","174550","2776439","6475756","6511153","20420318","4004411","7993325","142636","5025114","4921807","9791376","5790797","2609055","830620","3220269","26659110","19636314","7268980","84963803","7682548","22210842","757625","10413327","1054709","341819","1251591","112214","1430694","229239"
"AK-3-E","15121481","14380625","2343626","4235114","15585971","1761708","18620462","8199790","120789080","6175722","17917378","865624","5241056","3792106","20269359","28978979","2833428","1894946","8705216","2733779","1966607","152450807","146285466","7439851","24481673","1660908","71675032","3411830","9047362","1144758","72358740","57951687","92572458","1909151","612663","5629213","6778863","8185461","40498856","17915422","3843305","5818645","3893182","8386125","42051469","958689","14762887","4423165","6341638","1349669","954271","10614503","5037677","6742139","15348319","6693604","4472099","1137061","1656914","13825477","5388897","353712","1073984","586417","1158880","1235712","313644","2116045","7196384","1025025","2877652","368673","82536","644157","169017","4322198","1346856","408890","1672521","305191","1183754","6305034","16233217","1139810","4213036","2304477","2137220","5938468","733073","5397904","204054520","1535677","48920043","40858995","14012866","5734150","97281142","4044610","30854174","28494610","23371345","10048174","2309881","5891498","50514771","8948777","6867530","282468","4556511","9888920","10667206","33686362","6741661","11628921","250430","8204551","7744126","15846933","8970804","3479741","1158235","4682905","38206800","27809654","9760605","124320357","10879410","32348407","1299012","15109268","1645547","551518","1987002","146109","1923816","253838"
"AK-4-A","16590208","16244552","2690243","4751192","19393462","1895196","19826035","8444829","122898401","6650374","19830019","912908","4823315","4032664","21215635","35193151","3403393","2139091","10777558","2866068","2102365","181173626","174957286","8286007","30448179","2078656","72063162","4073504","9952158","1066498","65746036","54782664","74631549","1925887","631076","5301303","8037153","7625852","38594368","19186109","4367979","6452593","4310793","8363725","37516631","822430","15148545","5127252","7230685","1657151","1172693","12228769","6145717","8379704","15603819","9258147","6291811","1600230","1524228","10171958","5412748","397210","1117413","930364","1275039","1373694","341400","2361583","8332872","1264060","2965664","457066","342022","757903","468562","4148774","1400201","490734","1813010","343207","1300484","6710121","18674989","1273821","4584707","2512546","2373243","5800563","811350","5843242","228267762","1678933","46125658","36716544","13741632","5038081","88522136","3701783","32590857","25225208","23951726","11248769","2845612","5855685","49133165","8272205","5396389","279410","4676076","9633093","10036701","33592082","6203090","12050313","241287","7188907","7557485","16009162","7134723","2273641","1018760","4514411","43254661","31419116","10152341","129846763","11298127","33670678","1368760","14288603","1757812","616909","1337089","131852","1656154","198998"
"AK-4-B","10336067","9625419","2067498","2723953","10641819","1211206","15356230","6046135","86184272","4254775","12240498","631881","3555419","2557615","19616446","22345132","2155073","1304741","5641331","2207803","1480718","115069924","106343739","6156785","14654546","1314731","58242324","2697214","7344879","662165","40731258","44273738","74779288","1150220","463337","4008650","5839765","7969341","32893545","12455166","2646541","4104750","2665269","6256740","27826927","774470","9874196","2988663","4632134","1028289","721094","7865004","3788278","5521056","11746969","5623234","3931266","1023371","1154761","5578618","3794525","113178","898362","3202575","2014677","892880","208446","1650680","4180824","778284","2434411","292352","2981256","1382073","3002636","1886815","1030036","389126","1423364","176055","977705","4427802","12195621","941315","2436755","1620254","1415216","4531269","374326","4587698","154674347","1428503","36628852","30999707","8198585","4241977","77417218","2990390","22939238","21614124","17919588","5566619","1774758","4405829","39227629","7593085","5804432","225076","3190168","8762298","8184823","25598727","5669259","11252566","206121","5819352","6325684","11949345","7276820","2311061","716594","4045609","26499020","17497926","7751869","78689067","7292593","20963314","641300","10669766","1018098","234308","1389876","79514","1000981","117510"
"AK-4-C","22317946","21638056","5379440","6599664","22812512","2693974","28995488","12705380","187606571","9134937","27290969","1384686","8354897","5430979","41305908","44002947","4388383","2722894","11442355","4611141","2930671","221660477","220675264","11692814","33180194","2926768","105329375","5978072","15421513","1379183","87625187","89371311","146731375","2768441","918778","9080104","12917079","14098631","48248627","25912358","5785850","9017528","5816156","12503547","58129621","1430768","23031949","7371551","9547404","2245862","1566050","18079561","7740824","10265432","26662791","10083836","7185403","2145594","2315244","15414226","7889989","331035","2057825","14553225","7680869","2091630","454210","3314485","9644294","1657792","4941183","642794","14464991","5229625","15082228","4863168","2115383","1243768","2984948","408527","2069382","9806720","22924007","2104377","5159481","3552106","3029663","9560765","912928","9255105","290938809","2853027","78109048","67887043","19794847","8870377","164223754","6330626","48208637","46542467","39414494","13696288","4015269","9317615","83025249","15941284","7846255","471400","7054046","18553025","18273818","54921757","11686237","24981335","443113","12395565","12973528","25171935","12983506","2199326","1222448","5360078","52528749","38003368","16262490","170727008","14595044","44092565","1884201","21611580","2185930","511857","3650717","207431","2293360","343987"
"AK-4-D","17783125","16273085","4427406","4865473","16822063","1991623","21940800","9304812","144441734","6583932","20937730","1017584","6364213","3639421","35631925","33893154","3243084","2021923","8555365","3240761","2251590","162489984","163260973","9163263","23349138","2127719","84783028","4344595","11444725","1025519","59667928","62618764","120489839","1894782","698116","6272501","10392763","10388178","29429987","18131824","3932736","6795216","4245008","9432329","41654290","1159148","17391585","5326069","7292127","1604448","1190646","13530814","6104001","7876419","20206623","7812316","5685933","1786744","1881301","8511682","5583162","196008","1175466","16174607","8105910","1564477","334081","2762609","6653223","1232039","3888617","500083","16415227","5569713","17087302","3051215","1550636","1142036","2472935","286161","1468351","7536734","18424405","1725872","4065331","3007275","2521906","6481003","712964","6326150","224343896","2115568","53317514","45950289","13158531","5756345","114857189","4068653","34618882","30303140","28249604","9514556","2867253","6619845","61629759","11437561","7023468","344088","5029066","12878972","12577777","39484025","8797662","20360415","309173","8562092","9214870","18212645","8692565","1199874","776176","3131137","36788921","28756156","11916218","130684092","10334107","31450746","1346085","14444520","1517981","381267","2859162","170361","1859872","313366"
"AK-4-E","9965684","9305589","1912479","2455159","10460387","1125413","14347173","5770157","83482001","4016729","12055992","523234","3228741","2469292","15661724","19906960","1893238","1228368","5213242","1894698","1392605","110700282","96292067","5310055","13514559","1030795","51115804","2222268","5998218","539503","37632441","40065152","65179008","1176050","403501","3339965","4998638","5885372","28142519","11836279","2370095","3738311","2329734","5797275","25306593","586590","8874875","2613449","4181234","923148","663677","7120549","3318018","4935835","9390938","4925910","3303750","765968","1005969","4860662","3305338","210827","832987","3370672","2018723","842646","192695","1460246","3931058","693868","2142846","296809","3116887","1324847","3233177","1775332","920739","343362","1267374","151479","893624","4042751","10737223","822609","2159222","1438065","1269222","3530138","391887","3779059","139854710","1096940","31664953","24789195","6968180","3444343","64741511","2402221","19550393","17489848","14187486","4666968","1560706","3578097","32508303","6140532","4968127","180728","2666123","6777416","6317544","20542772","4527257","10078149","162883","4381169","5164381","9495738","5407483","1762556","579453","3357331","25941865","17468044","7301177","78648488","7014928","20414316","721065","9693827","956212","190197","1210822","72667","909886","138909"
"KL-0-A","12123921","14160301","2329288","4427921","6953139","1712677","16140174","8729616","118161349","8482007","15306873","1442882","11783488","3995619","20747555","27696892","2794431","1769753","5467695","5499095","2400085","197205160","165589597","7643543","21293527","2072203","83666112","5172005","14637213","1112520","101540623","99080679","91304881","2546962","654315","15667865","9561448","7392218","24932306","21086637","4652677","6872549","5034454","10807243","63116650","1717784","18918596","4152169","6602359","1636252","1069968","13314851","5389261","6031206","32917021","6992494","5020194","2028293","4022138","15770941","6505548","334778","1530619","2414963","2380730","1414813","472016","2070053","1784370","1201784","3891851","940339","2152308","1497243","2274851","6042619","1750439","870572","1894803","330616","2021633","7634476","16641550","2095163","6561053","3436126","3533921","6918911","2615595","10269475","221188243","1615933","71509884","43553028","13222533","7264901","127490344","5114432","47764372","38973374","26451934","8773230","3051147","7177620","63645510","13317746","6560296","560477","5127300","12587748","17567164","41685027","8398474","18083680","542499","10119062","8529107","18796294","10711051","5095921","1034440","5089057","42890039","27123143","12830961","159568411","12200762","39250026","1209314","17119488","1936411","483301","4648982","205094","3072027","285122"
"KL-0-B","9655499","11198936","1963208","3526353","5550933","1352248","12402677","7059752","88335222","6608655","11561364","1138658","8934912","3165117","14291179","23168593","2382673","1495226","4473989","4159815","1920090","155992760","128266413","6611198","16991202","1564131","54480592","3692929","11072892","833964","87318334","75586531","69303000","1866825","458833","11827199","6749860","5548904","20296826","17307540","3807131","5687996","3966969","8511594","50612494","1383195","15151225","3385599","5541520","1407813","890526","11099579","4715528","4954042","27704342","5734612","4095338","1511298","2869611","12142755","5007532","284540","1419581","1544239","1755885","1065657","347051","1778083","1513628","1030494","3062030","742887","1360972","1124432","1422418","5139176","1390857","630401","1568830","250259","1470537","5877144","15728616","1740139","5032359","2578992","2701634","5248734","1704730","7740552","164781232","1250108","56578259","34103202","10503881","5653216","96474514","3969789","36011837","29501299","19711110","6604247","2296808","5435546","47390180","9625360","4843833","445093","3687522","9528837","13030429","30618873","6354463","12204323","384566","7623863","6687754","14430137","8583154","4935234","797264","4617002","35993444","22952775","10919312","127610937","10295440","32140777","947634","13991141","1564468","375033","3281810","132306","2051744","254991"
"KL-0-C","9506854","10959630","1902980","3463571","5366992","1339286","12904688","7050938","91528409","6560171","11381737","1097733","8912922","3048834","16561459","21936439","2280931","1344617","4155541","3917185","1944656","139564460","119097256","6240396","14954530","1493979","63976163","3558421","10897725","972591","85053002","80871307","78645714","1902336","499255","12897043","7328676","6203663","17993140","16678729","3632278","5466818","3878768","8981526","50536950","1455223","15441143","3350639","4996557","1272670","820587","10637744","4365204","4752267","23994554","5631924","4071891","2245968","2995333","22758135","6133329","386681","1577578","1009630","1461052","1045153","367110","1640814","1497976","944628","3147568","656373","815392","959066","889638","4547175","1411346","662613","1534483","258164","1463846","5633877","14826705","1729171","4646083","2349691","2268209","5845930","1909377","8198944","166834864","1368109","57854030","35464516","10069710","5903987","102769129","4153232","38367251","31993278","21631977","6608760","2296187","5668776","52441408","10938878","6166239","468093","3983866","10392161","14137665","33391109","6833012","11926720","426082","8240532","7149860","15305011","9760429","5534649","758709","4589681","34041963","21390156","10629244","128830423","9497326","32031429","953681","13743712","1502186","408047","3988099","124532","2265958","272356"
"KL-0-D","9951714","11423106","2092201","3541435","5528221","1378030","13077957","7289270","92121620","6788079","11814784","1147396","9515055","3275012","16738976","22944910","2366006","1554821","4728921","4285628","1952202","164311047","135279602","6547140","16446358","1721427","70186944","3989167","11760374","973877","83046406","84529321","78651929","2079788","514941","12888587","7597382","6273088","20429626","17458480","3826788","5674040","4005097","8845824","53691762","1480330","15680711","3348211","5481114","1344821","880584","10996374","4519326","5013411","26439199","5950318","4205601","1733359","3609494","14905385","5470562","253722","1599306","1941763","1905648","1088637","370468","1776301","1720437","967379","3218546","705735","1735707","1322468","1864168","4668829","1442381","706776","1623759","263796","1626482","6020405","15375129","1734725","4610631","2329879","2292038","5442419","2035349","8434983","186967563","1361831","60646580","34792784","10266774","5916924","106383186","4138562","38824314","32202311","21280108","6737985","2476904","5838247","54017225","10896031","5877636","448741","4041245","10346474","14100088","34021471","6739954","13835259","408200","8242065","7070568","15309444","9438275","4782707","844580","4285578","36193941","22510108","10519284","130729667","9983814","32734068","1045820","14164213","1565037","445833","3922010","164482","2445632","293788"
